DATE,TMAX,TMIN,HUMIDITY,PRCP,PRESSURE,RAIN
7/1/2008,30,26,94,1.6,1001,TRUE
7/2/2008,31,26,93,0.8,1001,TRUE
7/3/2008,29,26,95,0,1001,FALSE
7/4/2008,32,26,91,0,1001,FALSE
7/5/2008,31,26,93,0,1000,FALSE
7/6/2008,31,26,92,0,999,FALSE
7/7/2008,28,25,95,2.9,998,TRUE
7/8/2008,30,25,93,2.5,997,TRUE
7/9/2008,30,25,94,1.8,1001,TRUE
7/10/2008,30,26,92,0.1,1003,TRUE
7/11/2008,31,25,93,0,1001,FALSE
7/12/2008,30,25,93,6.1,999,TRUE
7/13/2008,30,26,93,1.2,1000,TRUE
7/14/2008,29,26,95,0,1002,FALSE
7/15/2008,31,25,91,0,1001,FALSE
7/16/2008,32,25,91,5.9,999,TRUE
7/17/2008,32,26,90,1.4,998,TRUE
7/18/2008,31,26,92,0.4,999,TRUE
7/19/2008,30,25,92,0,1000,FALSE
7/20/2008,29,26,94,1.9,1003,TRUE
7/21/2008,30,25,93,2.8,1003,TRUE
7/22/2008,30,25,94,8.1,1002,TRUE
7/23/2008,30,26,95,11.8,1001,TRUE
7/24/2008,31,26,93,1.9,1000,TRUE
7/25/2008,30,26,93,9,998,TRUE
7/26/2008,31,25,92,6.5,998,TRUE
7/27/2008,30,25,93,2.6,999,TRUE
7/28/2008,30,26,91,4.1,1000,TRUE
7/29/2008,30,25,92,0,1000,FALSE
7/30/2008,30,25,92,0,1000,FALSE
7/31/2008,30,25,91,4.5,1000,TRUE
8/1/2008,30,25,93,6.4,1002,TRUE
8/2/2008,30,26,91,1.8,1002,TRUE
8/3/2008,27,25,96,14.5,1002,TRUE
8/4/2008,29,25,93,2.8,1003,TRUE
8/5/2008,30,25,94,3,1003,TRUE
8/6/2008,30,25,94,2.1,999,TRUE
8/7/2008,30,26,92,1.9,997,TRUE
8/8/2008,33,26,89,2.8,995,TRUE
8/9/2008,32,26,91,6.8,995,TRUE
8/10/2008,28,26,95,1.2,997,TRUE
8/11/2008,28,25,95,0,998,FALSE
8/12/2008,30,26,94,2.4,1000,TRUE
8/13/2008,30,26,94,0.3,1002,TRUE
